Vivado Simulator 2019.1
Time resolution is 1 ps
Time:            218245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            222085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            224005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            249605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            250245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            254085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            281605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            282245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            286085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            288005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            313605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            314245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            318085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            320005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            345605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            346245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            350085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            352005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            377605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            378245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:            382085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            409605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            410245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            414085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            416005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 1111 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:            441605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:            442245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 0 | VGA_VS: 1
Time:            446085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 1111 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
